0 [1,2639L,34141L,8051L,97167L,0,131308L,11,1.95]
0 [1,11527L,29591L,6698L,82498L,0,112089L,11,1.57]
0 [1,17944L,28068L,15554L,26186L,0,54254L,8,1.02]
0 [1,0L,109482L,15649L,126704L,0,236186L,21,0]
0 [1,15124L,63028L,8933L,18412L,0,81440L,10,2.07]
0 [1,237436L,779661L,15748L,280124L,0,1059785L,14,15.51]
0 [1,169897L,125655L,15450L,293984L,0,419639L,14,15.27]
0 [1,28208L,101530L,12232L,48943L,0,150473L,14,14.16]
0 [1,7718L,109402L,18123L,28432L,0,137834L,20,1.42]
0 [1,263L,220152L,193351L,158303L,0,378455L,23,15.16]
0 [1,10699L,72158L,10641L,24957L,0,97115L,14,1.31]
0 [1,6795L,112827L,9106L,17638L,0,130465L,17,14.11]
0 [1,23769L,65382L,0,35230L,0,100612L,5,6.81]
0 [1,9399L,15839L,0,18039L,0,33878L,5,2]
0 [1,3626L,8067L,0,20815L,0,28882L,5,2]
0 [1,694L,32824L,10372L,1987L,0,34811L,11,1.4]
0 [1,6805L,24434L,11054L,8149L,0,32583L,7,1.3]
0 [1,79479L,136655L,62719L,72670L,0,209325L,369,1.32]
0 [1,103837L,58280L,7085L,46571L,0,104851L,187,1.12]
0 [1,2134L,86499L,20546L,17253L,0,103752L,19,1.2]
0 [1,11021L,137647L,109216L,54170L,0,191817L,22,1.3]
0 [1,4085L,113588L,8282L,16253L,0,129841L,17,1.18]
0 [1,6353L,191763L,9218L,29146L,0,220909L,17,1.3]
0 [1,193742L,311541L,166736L,58623L,0,370164L,389,1.21]
0 [1,2727L,93029L,8706L,22051L,0,115080L,21,1.17]
0 [1,37586L,106142L,16097L,11842L,0,117984L,105,1.12]
0 [1,161799L,121403L,19414L,47708L,0,169111L,148,2.19]
0 [1,6647L,39357L,7741L,23159L,0,62516L,17,1.2]
0 [1,8794L,85437L,10195L,15725L,0,101162L,21,1.21]
0 [1,5700L,144174L,28604L,12148L,0,156322L,30,1.2]
0 [1,4098L,69192L,6137L,6956L,0,76148L,17,1.21]
0 [1,10030L,334526L,11739L,16643L,0,351169L,20,1.21]
0 [1,3947L,171759L,25891L,6058L,0,177817L,17,1.21]
0 [1,9847L,39499L,4718L,20411L,0,59910L,17,1.22]
0 [1,6570L,52661L,6003L,24581L,0,77242L,19,1.2]
0 [1,1643L,45765L,10766L,7918L,0,53683L,17,1.2]
0 [1,7999L,115813L,10874L,23111L,0,138924L,19,1.3]
0 [1,31180L,50406L,6070L,20355L,0,70761L,123,1.22]
0 [1,9322L,71121L,8166L,24199L,0,95320L,19,1.21]
0 [1,40737L,64150L,8736L,11348L,0,75498L,17,1.21]
0 [1,6160L,53793L,9369L,8387L,0,62180L,17,1.3]
0 [1,4690L,52339L,10864L,6283L,0,58622L,17,1.21]
0 [1,145010L,82052L,15407L,64297L,0,146349L,174,1.12]
0 [1,3371L,194348L,9159L,11610L,0,205958L,23,1.2]
0 [1,3900L,104249L,24882L,15832L,0,120081L,17,1.12]
0 [1,48843L,74256L,4623L,9193L,0,83449L,17,1.2]
0 [1,6123L,121887L,19838L,16637L,0,138524L,18,1.3]
0 [1,2720L,41687L,4154L,10498L,0,52185L,17,1.12]
0 [1,20548L,73750L,13099L,8330L,0,82080L,104,1.12]
0 [1,3658L,44282L,3650L,13983L,0,58265L,17,1.12]
0 [1,4153L,122839L,6247L,71215L,0,194054L,18,1.21]
0 [1,9529L,64497L,7741L,12235L,0,76732L,17,1.19]
0 [1,966L,208718L,12656L,4135L,0,212853L,17,1.12]
0 [1,4882L,72126L,6857L,18966L,0,91092L,20,1.11]
0 [1,4462L,51217L,6201L,6925L,0,58142L,17,1.11]
0 [1,3127L,41132L,10155L,4665L,0,45797L,17,1.3]
0 [1,194080L,182749L,9706L,19350L,0,202099L,111,1.21]
0 [1,1408L,39693L,5899L,5094L,0,44787L,17,1.21]
0 [1,1400L,74259L,11092L,3854L,0,78113L,17,1.11]
0 [1,11658L,102640L,15163L,28351L,0,130991L,19,1.3]
0 [1,11999L,128646L,10109L,24729L,0,153375L,19,1.2]
0 [1,5079L,85260L,11744L,24848L,0,110108L,24,1.21]
0 [1,6563L,119475L,26376L,17202L,0,136677L,17,1.21]
0 [1,4248L,99825L,14987L,24007L,0,123832L,17,1.2]
0 [1,5121L,106765L,13288L,25690L,0,132455L,18,1.19]
0 [1,3448L,132542L,17417L,5770L,0,138312L,17,1.34]
0 [1,4085L,359346L,209619L,9234L,0,368580L,33,1.34]
0 [1,4085L,161109L,31899L,9234L,0,170343L,17,1.34]
0 [1,1199L,67221L,15414L,7681L,0,74902L,17,1.34]
0 [1,0L,244633L,13672L,14109L,0,258742L,19,0]
0 [1,10302L,99073L,28190L,17415L,0,116488L,17,1.21]
0 [1,2809L,71195L,9264L,5480L,0,76675L,17,1.21]
0 [1,15276L,183537L,19111L,37022L,0,220559L,21,1.21]
0 [1,3420L,86520L,10437L,70020L,0,156540L,19,1.19]
0 [1,8266L,81406L,8348L,17187L,0,98593L,16,1.19]
0 [1,8743L,66087L,20582L,46585L,0,112672L,18,1.24]
0 [1,8924L,53496L,8151L,28913L,0,82409L,17,1.21]
0 [1,4672L,67706L,7502L,11610L,0,79316L,17,1.21]
0 [1,3639L,189440L,22223L,17105L,0,206545L,26,1.21]
0 [1,4453L,67713L,11340L,6927L,0,74640L,19,1.31]
0 [1,9404L,67732L,14080L,46595L,0,114327L,17,1.2]
0 [1,0L,33270L,13632L,22649L,0,55919L,8,0]
0 [1,0L,21981L,10503L,3110L,0,25091L,8,0]
0 [1,5805L,15425L,8098L,7705L,0,23130L,7,4.78]
0 [1,0L,19933L,0,18935L,0,38868L,14,0]
0 [1,0L,21565L,4711L,99941L,0,121506L,8,0]
0 [1,209769L,29561L,17554L,220664L,0,250225L,9,18.01]
0 [1,0L,105117L,0,26450L,0,131567L,8,0]
0 [1,0L,19458L,0,72314L,0,91772L,14,0]
0 [1,0L,15936L,0,9022L,0,24958L,14,0]
0 [1,0L,30303L,0,8534L,0,38837L,16,0]
0 [1,0L,25836L,0,53340L,0,79176L,13,0]
0 [1,0L,25254L,0,23602L,0,48856L,7,0]
0 [1,0L,9337L,0,33166L,0,42503L,9,0]
0 [1,0L,14304L,0,26830L,0,41134L,8,0]
0 [1,0L,166909L,166900L,-53L,0,166856L,15,0]
0 [1,11769L,45070L,10954L,19518L,0,64588L,10,2.01]
0 [1,2589L,372954L,230651L,5630L,0,378584L,45,2.23]
0 [1,20164L,989519L,172065L,58753L,0,1048272L,39,2.23]
0 [1,56382L,140627L,19975L,132872L,0,273499L,25,2.4]
0 [1,0L,12085L,4281L,9103L,0,21188L,8,0]
0 [1,0L,30862L,15777L,18825L,0,49687L,8,0]
0 [1,7297L,27190L,15941L,9594L,0,36784L,8,3.7]
0 [1,0L,26539L,14507L,25012L,0,51551L,8,0]
0 [1,7433L,65520L,19625L,14812L,0,80332L,13,1.84]
0 [1,70595L,49393L,6483L,21937L,0,71330L,258,1.76]
0 [1,7201L,55196L,26300L,42298L,0,97494L,11,1.74]
